DEC alternative conversion factor (LCU per US$),Fertility rate, total (births per woman),GDP (constant LCU),GDP (current LCU),GDP (current US$),GDP at market prices (constant 2010 US$),GDP deflator (base year varies by country),GDP growth (annual %),GDP per capita (current LCU),GDP per capita (current US$),GDP per capita, PPP (constant 2011 international $),GDP per capita, PPP (current international $),GDP, PPP (constant 2011 international $),GDP, PPP (current international $),GNI (current LCU),GNI per capita (current LCU),GNI per capita, Atlas method (current US$),GNI per capita, PPP (current international $),General government total expenditure (current LCU),Life expectancy at birth, total (years),Mortality rate, infant (per 1,000 live births),Official exchange rate (LCU per US$, period average),PPP conversion factor, GDP (LCU per international $),PPP conversion factor, private consumption (LCU per international $),Population aged 14 years or younger (thousands),Population aged 15-24 years (thousands),Population aged 25-64 years (thousands) ,Population aged 65 years or older (thousands),Population growth (annual %),Poverty headcount ratio at $3.20 a day (PPP) (% of population),Prevalence of HIV, total (% of population ages 15-49),Price level ratio of PPP conversion factor (GDP) to market exchange rate,Rural population (% of total population),Total debt service (% of GNI),Total population (thousands),
MEX,19.2,2.1,18551620000000,23491507000000,1220699479846,1312830960706,126.6,2.1,186159,9673,19992,20396,2522835275243,2573847595048,22888446960000,181380,9180,19870,6036851000000,75,13,19.2,9.13,10.3,33512,22126,61437,9116,1.1,6.5,NaN,0.5,20,4.9,126191,
MHL,1,NaN,201651800,221278000,221278000,179151564,109.7,3.6,3788,3788,3894,3986,227470586,232838191,282605100,4838,4860,5090,133000000,NaN,27,NaN,0.95,NaN,22,12,22,3,0.6,NaN,NaN,1,23,NaN,58,
MKD,52.1,1.5,451982000000,658053000000,12628854801,11336478398,145.6,2.7,315922,6063,15944,16517,33210582760,34405256698,630348176001,302622,5470,15820,200024000000,76,7,52.1,19.13,22.8,344,264,1191,285,,NaN,NaN,0.4,42,10.7,2083,
MLI,555.4,5.9,5172484738100,9538200000000,17172022684,14849275465,184.4,4.7,499966,900,2283,2337,43556296285,44584090696,9284939209300,486691,840,2270,1925539000000,59,62,555.4,213.94,201,9070,3714,5815,478,3,NaN,1.3,0.4,58,1.3,19078,
MLT,0.8,1.2,10512836266,12366312994,14603581712,13937208360,117.6,7.3,25517,30133,43064,43555,20870115454,21108159041,11329176899,23377,26350,39900,4535000000,82,6,NaN,0.59,0.6,63,49,238,89,3.5,NaN,NaN,0.7,5,NaN,439,
MMR,1381.9,2.2,89147341400000,105258500800000,76168043982,84491238202,118.1,6.8,1959815,1418,5029,5148,270109232998,276482978785,101529083530379,1890376,1370,4970,19514895000000,67,37,1429.8,380.71,406.7,14163,9748,26690,3107,0.6,NaN,0.8,0.3,69,1.1,53708,
MNE,0.8,1.7,2980807470,4663130000,5506766651,5130685605,156.4,5.1,7494,8850,20629,21236,12835648189,13213905651,4717687900,7582,8440,21480,2200000000,77,2,0.8,0.35,0.4,114,82,337,94,NaN,NaN,0.1,0.4,33,30.9,628,
MNG,2472.5,2.9,18115852233913,32411224148788,13108769496,13349296396,178.9,7.2,10223690,4135,11916,12197,37774864818,38666235256,29089260188889,9175821,3630,10950,9222943000000,70,14,2472.5,838.23,910.8,964,460,1617,129,1.8,5.2,0.1,0.3,32,66.1,3170,
MNP,1,NaN,1066000000,1323000000,1323000000,1056741935,124.1,-19.6,23259,23259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,9,31,4,0.6,NaN,NaN,NaN,8,NaN,57,
MOZ,60.3,4.9,660376044700,887806187900,14717223207,17445070421,134.4,3.4,30099,499,1290,1320,38036311363,38933851135,869977813100,29495,460,1290,292006000000,60,56,60.3,22.8,22.3,13176,6004,9463,853,2.9,NaN,12.5,0.4,64,4.5,29496,
MRT,35.7,4.6,225063475300,251496754500,7049169771,7502643580,111.7,2.1,57115,1601,5042,5161,22203397805,22727329593,250124597100,56804,1580,5130,50634000000,65,51,35.7,11.07,12.5,1765,844,1656,138,2.8,NaN,0.2,0.3,46,5.5,4403,
MSR,NaN,NaN,NaN,171932787,NaN,NaN,NaN,NaN,34435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7,NaN,NaN,1,,3,1,NaN,NaN,NaN,NaN,NaN,NaN,5,
MTQ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61,47,191,77,NaN,NaN,NaN,NaN,NaN,NaN,376,
MUS,33.9,1.4,358261551200,481251000000,14181803715,13383363248,134.3,3.8,380344,11208,22208,22732,28100089010,28763164544,528577000000,417747,12040,24970,121604000000,74,14,33.9,16.73,18.1,225,193,703,145,0.1,NaN,1.2,0.5,59,NaN,1267,
MWI,732.3,4.2,1406409357128,5065765000000,6917301909,9345738574,360.2,3.2,279208,381,1043,1067,18914884288,19361217287,4945080610480,272557,350,1040,1393424000000,64,32,732.3,261.64,265.5,7965,3769,5929,480,2.6,NaN,9.2,0.4,83,1.2,18143,
MYS,4,2,1361533000000,1446914000000,358581943446,382129075415,106.3,4.7,45892,11373,27537,28187,868200075493,888686922656,1395328000000,44256,10590,27180,328898000000,76,7,4,1.63,1.7,7565,5626,16233,2103,1.4,NaN,0.4,0.4,24,NaN,31528,
MYT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,104,50,95,10,NaN,NaN,NaN,NaN,NaN,NaN,260,
NAM,13.2,3.4,145436582200,178051684600,13454211124,14548454856,122.4,0.7,72726,5495,9932,10166,24316003292,24889786061,172575052700,70489,4900,9850,66023000000,63,31,13.2,7.15,7,904,487,968,89,1.9,NaN,11.7,0.5,50,NaN,2448,
NCL,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,101,NaN,NaN,64,44,146,26,1.3,NaN,NaN,NaN,29,NaN,280,
NER,555.2,6.9,6786255000000,7121376000000,12826750567,12299579202,104.9,7,317310,572,1196,1225,26852435533,27486070288,7014321030000,312540,540,1210,1505323000000,62,48,555.4,259.09,246.4,11218,4315,6327,582,3.8,NaN,0.2,0.5,84,1,22443,
NGA,324.2,5.4,70536348621700,129086907450900,398160403207,469309961687,183,1.9,659028,2033,5155,5277,1009748886412,1033575849451,123131696032800,628625,1970,5030,16549537000000,54,76,306.1,124.89,122.7,85924,37502,67068,5381,2.6,71,1.3,0.4,50,1.4,195875,
NIC,31.6,2.4,178780000000,412207000000,13063873078,12006820517,230.6,-4,63755,2021,5695,5829,36820293365,37689138858,402438126700,62244,2020,5690,80780900000,74,15,31.6,10.94,11.8,1953,1194,2979,339,1.3,NaN,0.2,0.3,41,8.4,6466,
NIU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,1,,NaN,NaN,NaN,NaN,NaN,NaN,2,
NLD,0.8,1.6,744505272100,774039000000,914104847814,948100838892,104,2.6,44920,53048,56455,57565,972810044092,991941839767,781718000000,45365,51310,58140,319581000000,82,3,NaN,0.78,0.9,2748,2054,8983,3275,0.6,NaN,0.2,0.9,9,NaN,17060,
